distance (cm),firstSig,digSignal,std,firstFit,firstFitStd
4,3125.00,3602.3,8.4,4.25,0.008
5,2577.50,2915.2,7.85,5.01,0.011
6,2184.00,2494.2,8.22,5.66,0.012
7,1874.85,2141.2,5.15,6.38,0.012
8,1653.00,1867.2,4.75,7.1,0.014
9,1446.90,1632,5.65,7.88,0.021
10,1275.30,1442.45,5.5,8.68,0.026
11,1133.90,1284.3,6,9.5,0.034
12,1014.45,1148,7.5,10.37,0.054
13,942.90,1060.8,3.8,11.03,0.031
14,849.80,956.75,4.9,11.96,0.05
15,776.90,875,5.5,12.82,0.06
16,714.90,799.7,6.1,13.75,0.085
17,657.00,740.5,5.25,14.6,0.081
18,611.80,689.1,5.85,15.44,0.103
19,559.50,630,6.1,16.57,0.125
20,508.70,571,6,17.88,0.165
21,480.90,540.6,5.5,18.67,0.155
22,451.70,494,6.55,20.02,0.208
23,413.70,462.4,4.59,21.08,0.169
24,387.40,437.9,5.7,22.06,0.23
25,364.00,409.8,5.6,23.15,0.26
26,338.40,381.9,5.3,24.53,0.23
27,314.20,355.9,5.9,25.85,0.35
28,292.00,330.8,6,27.44,0.37
29,274.50,303.6,4.3,29.3,0.329
30,259.00,280,6.4,31.2,0.56
